site0	site1	site2	site3	site4	site5	site6	site7	site8	site9	site10	site11	site12	site13	site14	site15	site16	site17	site18	site19	site20	site21	site22	site23	site24	site25	site26	site27	site28	site29	site30	site31	site32	site33	site34	site35	site36	site37	site38	site39	site40	site41	site42	site43
0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0
0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0
0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1
0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0
0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0
0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0
0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0
0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0
0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0
0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0
0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1
0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0
0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0
